,80_2,80_3,80_4,80_week,,,,
time_series_emotions_neg_forecast_14_7_arima_p12.csv,0.411764706,0.529411765,0.636363636,0.424242424,,,,
time_series_emotions_neg_forecast_14_7_mae_rmsprop.csv,0.666666667,0.696969697,0.818181818,0.761904762,,,,
time_series_emotions_neg_forecast_14_7_mae_sgd.csv,0.606060606,0.727272727,0.848484848,0.714285714,,,,
time_series_emotions_neg_forecast_14_7_mse_rmsprop.csv,0.575757576,0.757575758,0.787878788,0.761904762,,,,
time_series_emotions_neg_forecast_14_7_mse_sgd.csv,0.454545455,0.606060606,0.727272727,0.666666667,,,,
time_series_emotions_neg_forecast_14_7_prophet.csv,0.411764706,0.529411765,0.764705882,0.533333333,,,,
time_series_emotions_neg_forecast_14_7_var_p12.csv,0.484848485,0.636363636,0.727272727,0.523809524,,,,
time_series_emotions_neg_forecast_21_7_arima_p19.csv,0.433333333,0.566666667,0.633333333,0.55,,,,
time_series_emotions_neg_forecast_21_7_mae_rmsprop.csv,0.666666667,0.766666667,0.866666667,0.65,,,,
time_series_emotions_neg_forecast_21_7_mae_sgd.csv,0.433333333,0.7,0.8,0.65,,,,
time_series_emotions_neg_forecast_21_7_mse_rmsprop.csv,0.566666667,0.8,0.866666667,0.85,,,,
time_series_emotions_neg_forecast_21_7_mse_sgd.csv,0.333333333,0.533333333,0.7,0.55,,,,
time_series_emotions_neg_forecast_21_7_prophet.csv,0.566666667,0.6,0.766666667,0.55,,,,
time_series_emotions_neg_forecast_21_7_var_p19.csv,0.433333333,0.5,0.566666667,0.4,,,,
time_series_emotions_neg_forecast_7_7_arima_p5.csv,0.352941176,0.588235294,0.588235294,0.533333333,,,,
time_series_emotions_neg_forecast_7_7_mae_rmsprop.csv,0.606060606,0.666666667,0.878787879,0.714285714,,,,
time_series_emotions_neg_forecast_7_7_mae_sgd.csv,0.545454545,0.727272727,0.848484848,0.571428571,,,,
time_series_emotions_neg_forecast_7_7_mse_rmsprop.csv,0.606060606,0.696969697,0.878787879,0.714285714,,,,
time_series_emotions_neg_forecast_7_7_mse_sgd.csv,0.424242424,0.454545455,0.636363636,0.523809524,,,,
time_series_emotions_neg_forecast_7_7_prophet.csv,0.235294118,0.588235294,0.705882353,0.466666667,,,,
time_series_emotions_neg_forecast_7_7_var_p5.csv,0.545454545,0.696969697,0.818181818,0.571428571,,,,
